ligne,station,ordre,correspondance,latitude,longitude
RER A 1,Cergy le Haut,1,,49.04787620336899,2.0109997600036325
RER A 1,Cergy Saint-Christophe,2,,49.049647005256354,2.034294461852662
RER A 1,Cergy Préfecture,3,,49.036463980725365,2.079534939997373
RER A 1,Neuville Université,4,,49.01413368498304,2.078306591409993
RER A 1,Conflans Fin d’Oise,5,,48.99033259105296,2.073955308732424
RER A 1,Achères Ville,6,,48.97066504832262,2.0777317645655984
RER A 1,Maisons Laffitte,7,,48.94550297190666,2.1450174376542583
RER A 1,Sartrouville,8,,48.93773606341459,2.1570864964698178
RER A 1,Houilles Carrières sur Seine,9,,48.92037937392436,2.185353376302864
RER A 1,Nanterre – Préfecture,10,,48.89574531120744,2.2232129684066617
RER A 1,La Défense Grande Arche,11,METRO 1,48.89218707644951,2.237018056395014
RER A 1,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",48.87481054112289,2.2958012223518693
RER A 1,Auber,13,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",48.87215749487708,2.329927170608276
RER A 1,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",48.85763141070005,2.3480365654004016
RER A 1,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",48.84476017126674,2.373593653262281
RER A 1,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",48.84823711041019,2.395823588826126
RER A 1,Vincennes,17,,48.84445639456913,2.440439978057246
RER A 1,Fontenay sous Bois,18,,48.84379435193279,2.463501419487552
RER A 1,Nogent sur Marne,19,,48.83428889889616,2.471681242571033
RER A 1,Joinville le Pont,20,,48.82103881506317,2.4638567953623163
RER A 1,Saint-Maur – Créteil,21,,48.80620002476372,2.4727204038021715
RER A 1,Le Parc de Saint-Maur,22,,48.80537766216148,2.4863497487790744
RER A 1,Champigny,23,,48.80698507164625,2.510307237115641
RER A 1,La varenne Chennevières,24,,48.79538383561484,2.513423298184714
RER A 1,Sucy Bonneuil,25,,48.77170790696432,2.507482645714313
RER A 1,Boissy Saint Léger,26,,48.75218572078873,2.504559838342837
RER A 2,Poissy,1,,48.93326540612855,2.041072289675926
RER A 2,Achères Grand Cormier,2,,48.95540224453112,2.093521901580612
RER A 2,Maisons Laffitte,3,,48.94550297190666,2.1450174376542583
RER A 2,Sartrouville,4,,48.93773606341459,2.1570864964698178
RER A 2,Houilles Carrières sur Seine,5,,48.92037937392436,2.185353376302864
RER A 2,Nanterre – Préfecture,6,,48.89574531120744,2.2232129684066617
RER A 2,La Défense Grande Arche,7,METRO 1,48.89218707644951,2.237018056395014
RER A 2,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6",48.87481054112289,2.2958012223518693
RER A 2,Auber,9,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",48.87215749487708,2.329927170608276
RER A 2,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",48.85763141070005,2.3480365654004016
RER A 2,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",48.84476017126674,2.373593653262281
